"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2008;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2009;"JUV";"AEGCAU";"Court";0;0;0;0,0833333333333333;0,308333333333333;"Terrestre"
2010;"JUV";"AEGCAU";"Court";0;0;0;0,05;0,185;"Terrestre"
2011;"JUV";"AEGCAU";"Court";0;0;0,0434782608695652;0,115217391304348;0,191521739130435;"Terrestre"
2012;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2013;"JUV";"AEGCAU";"Court";0;0;0;0;0,075;"Terrestre"
2014;"JUV";"AEGCAU";"Court";0;0;0;0;0,080952380952381;"Terrestre"
2015;"JUV";"AEGCAU";"Court";0;0;0,05;0,0912698412698413;0,111111111111111;"Terrestre"
2016;"JUV";"AEGCAU";"Court";0;0;0;0,125;0,370833333333333;"Terrestre"
2017;"JUV";"AEGCAU";"Court";0;0;0;0;0,0546875;"Terrestre"
2018;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2019;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
2020;"JUV";"AEGCAU";"Court";0;0;0;0,0416666666666667;0,154166666666667;"Terrestre"
2021;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Terrestre"
1989;"AD";"ERIRUB";"Court";0,00294117647058822;0,0294117647058824;0,0588235294117647;0,0882352941176471;0,114705882352941;"Terrestre"
1990;"AD";"ERIRUB";"Court";0;0;0;0,0909090909090909;0,837500000000001;"Terrestre"
1991;"AD";"ERIRUB";"Court";0;0,075;0,126984126984127;0,330769230769231;0,4825;"Terrestre"
1992;"AD";"ERIRUB";"Court";0;0;0,0416666666666667;0,175;0,24125;"Terrestre"
1993;"AD";"ERIRUB";"Court";0;0;0,133928571428571;0,175;0,344375;"Terrestre"
1994;"AD";"ERIRUB";"Court";0,0104166666666667;0,107954545454545;0,203812316715543;0,253820033955857;0,324561403508772;"Terrestre"
1995;"AD";"ERIRUB";"Court";0;0;0,0833333333333333;0,191919191919192;0,229273504273504;"Terrestre"
1996;"AD";"ERIRUB";"Court";0;0;0,0555555555555556;0,152777777777778;0,283333333333333;"Terrestre"
1997;"AD";"ERIRUB";"Court";0;0;0;0,0714285714285714;0,307142857142857;"Terrestre"
1998;"AD";"ERIRUB";"Court";0;0;0;0;0,145833333333333;"Terrestre"
1999;"AD";"ERIRUB";"Court";0,00441176470588235;0,0441176470588235;0,129411764705882;0,233333333333333;0,323333333333333;"Terrestre"
2000;"AD";"ERIRUB";"Court";0;0;0;0,0871212121212121;0,168181818181818;"Terrestre"
2001;"AD";"ERIRUB";"Court";0;0;0,0666666666666667;0,260504201680672;0,383333333333333;"Terrestre"
2002;"AD";"ERIRUB";"Court";0;0;0,166666666666667;0,248717948717949;0,395238095238095;"Terrestre"
2003;"AD";"ERIRUB";"Court";0;0;0,118055555555556;0,195454545454545;0,249090909090909;"Terrestre"
2004;"AD";"ERIRUB";"Court";0;0;0;0,046875;0,22875;"Terrestre"
2005;"AD";"ERIRUB";"Court";0;0;0;0;0,210795454545455;"Terrestre"
2006;"AD";"ERIRUB";"Court";0;0;0;0,0714285714285714;0,4;"Terrestre"
2007;"AD";"ERIRUB";"Court";0;0;0;0,215384615384615;0,463888888888889;"Terrestre"
2008;"AD";"ERIRUB";"Court";0;0;0;0,138392857142857;0,26375;"Terrestre"
2009;"AD";"ERIRUB";"Court";0;0;0;0;0,311038961038961;"Terrestre"
2010;"AD";"ERIRUB";"Court";0;0;0;0,145604395604396;0,370192307692308;"Terrestre"
2011;"AD";"ERIRUB";"Court";0;0;0;0,0192307692307692;0,277083333333333;"Terrestre"
2012;"AD";"ERIRUB";"Court";0;0;0;0,154761904761905;0,385714285714285;"Terrestre"
2013;"AD";"ERIRUB";"Court";0;0;0;0,181818181818182;0,525;"Terrestre"
2014;"AD";"ERIRUB";"Court";0;0;0;0,2;0,406666666666666;"Terrestre"
2015;"AD";"ERIRUB";"Court";0;0;0;0,211111111111111;0,497727272727273;"Terrestre"
2016;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,332142857142857;"Terrestre"
2017;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,4875;"Terrestre"
2018;"AD";"ERIRUB";"Court";0;0;0;0,208333333333333;0,5;"Terrestre"
2019;"AD";"ERIRUB";"Court";0;0;0;0,166666666666667;0,296428571428571;"Terrestre"
2020;"AD";"ERIRUB";"Court";0;0;0;0,0931818181818182;0,310714285714286;"Terrestre"
2021;"AD";"ERIRUB";"Court";0;0;0;0,154166666666667;0,392857142857143;"Terrestre"
1989;"JUV";"ERIRUB";"Court";0;0;0;0;0;"Terrestre"
1990;"JUV";"ERIRUB";"Court";0;0,0182926829268293;0,0449685534591195;0,0635416666666667;0,424166666666667;"Terrestre"
1991;"JUV";"ERIRUB";"Court";0;0;0;0;0,0757575757575758;"Terrestre"
1992;"JUV";"ERIRUB";"Court";0;0;0,0161290322580645;0,0635416666666667;0,117435897435897;"Terrestre"
1993;"JUV";"ERIRUB";"Court";0;0;0;0,0147058823529412;0,104579831932773;"Terrestre"
1994;"JUV";"ERIRUB";"Court";0;0;0,0277777777777778;0,0638888888888889;0,0903645833333333;"Terrestre"
1995;"JUV";"ERIRUB";"Court";0;0;0;0,0555555555555556;0,11474358974359;"Terrestre"
1996;"JUV";"ERIRUB";"Court";0;0;0;0,0625;0,302083333333333;"Terrestre"
1997;"JUV";"ERIRUB";"Court";0;0;0;0;0,0473684210526316;"Terrestre"
1998;"JUV";"ERIRUB";"Court";0;0;0;0,0882352941176471;0,139705882352941;"Terrestre"
1999;"JUV";"ERIRUB";"Court";0;0;0,0106382978723404;0,0576241134751773;0,155762411347518;"Terrestre"
2000;"JUV";"ERIRUB";"Court";0;0;0;0,0666666666666667;0,0709523809523809;"Terrestre"
2001;"JUV";"ERIRUB";"Court";0;0;0;0;0,0610416666666667;"Terrestre"
2002;"JUV";"ERIRUB";"Court";0;0;0;0;0,117647058823529;"Terrestre"
2003;"JUV";"ERIRUB";"Court";0;0;0;0;0,162673611111111;"Terrestre"
2004;"JUV";"ERIRUB";"Court";0;0;0;0;0,122222222222222;"Terrestre"
2005;"JUV";"ERIRUB";"Court";0;0;0;0;0,125;"Terrestre"
2006;"JUV";"ERIRUB";"Court";0;0;0;0,0453296703296703;0,174107142857143;"Terrestre"
2007;"JUV";"ERIRUB";"Court";0;0;0;0;0,15125;"Terrestre"
2008;"JUV";"ERIRUB";"Court";0;0;0;0;0,180555555555556;"Terrestre"
2009;"JUV";"ERIRUB";"Court";0;0;0;0;0,17590909090909;"Terrestre"
2010;"JUV";"ERIRUB";"Court";0;0;0;0,00892857142857143;0,1775;"Terrestre"
2011;"JUV";"ERIRUB";"Court";0;0;0;0;0,0677777777777777;"Terrestre"
2012;"JUV";"ERIRUB";"Court";0;0;0;0;0,33125;"Terrestre"
2013;"JUV";"ERIRUB";"Court";0;0;0;0;0,171875;"Terrestre"
2014;"JUV";"ERIRUB";"Court";0;0;0;0;0,111904761904762;"Terrestre"
2015;"JUV";"ERIRUB";"Court";0;0;0;0;0,221111111111111;"Terrestre"
2016;"JUV";"ERIRUB";"Court";0;0;0;0;0,099423076923077;"Terrestre"
2017;"JUV";"ERIRUB";"Court";0;0;0;0;0,166666666666667;"Terrestre"
2018;"JUV";"ERIRUB";"Court";0;0;0;0;0,16491935483871;"Terrestre"
2019;"JUV";"ERIRUB";"Court";0;0;0;0,0522058823529412;0,148848684210526;"Terrestre"
2020;"JUV";"ERIRUB";"Court";0;0;0;0;0,144871794871795;"Terrestre"
2021;"JUV";"ERIRUB";"Court";0;0;0;0;0,125714285714286;"Terrestre"
1989;"AD";"PARCAE";"Court";0,5;0,5;0,5;0,5;0,5;"Terrestre"
1990;"AD";"PARCAE";"Court";0;0;0;0,333333333333333;0,633333333333333;"Terrestre"
1991;"AD";"PARCAE";"Court";0;0;0,1;0,2125;0,24625;"Terrestre"
1992;"AD";"PARCAE";"Court";0;0;0;0;0,3;"Terrestre"
1993;"AD";"PARCAE";"Court";0;0;0;0,125;0,2375;"Terrestre"
1994;"AD";"PARCAE";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325;"Terrestre"
1995;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1996;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1997;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1998;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1999;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2000;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2001;"AD";"PARCAE";"Court";0;0;0;0,166666666666667;0,316666666666667;"Terrestre"
2002;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2003;"AD";"PARCAE";"Court";0;0;0,0714285714285714;0,207142857142857;0,380714285714286;"Terrestre"
2004;"AD";"PARCAE";"Court";0;0;0;0,182539682539683;0,245833333333333;"Terrestre"
2005;"AD";"PARCAE";"Court";0;0;0;0;0,165;"Terrestre"
2006;"AD";"PARCAE";"Court";0;0;0;0;0,21875;"Terrestre"
